"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg"
4500000,7,"Female",40,30,114,9,9,1,10,3,2,24000,0,0,1,1,1,9,0,-1.13582891254673,-1.11215255182321,-0.148730562806059,-0.778359178113134,-1.36023260338257,0.613898949389738,-0.335856952280232,0.021156797580425,3.01069474515088,-0.726143622596442,1,1,"Moderate Risk",0.0470277410832233,"Non-Resilient",0,5,0,1,1,0,1,0
4503000,12,"Female",80,80,124,7,10,8,8,5,3,27000,0,0,1,3,0,2,2,0.689276165120653,1.10757984789199,0.405869661788948,0.834498423342269,-0.627113793110829,0.926494751619638,0.766487582902221,-0.779839558814468,-0.1556782115533,0.729218873512679,2,1,"High Risk",0.88560105680317,"Resilient",0,5,0,1,0,1,1,0
4504000,11,"Female",50,25,117,6,10,9,9,3,3,22000,0,0,1,4,0,1,1,-0.679552643129884,-1.33412579179473,0.017649504572443,-0.778359178113134,-0.627113793110829,0.405501747903138,1.31765985049345,-0.779839558814468,-0.608017205368183,0.00153762545811847,1,2,"Low Risk",0.594187582562748,"Not Applicable",0,5,0,1,1,0,1,0
4506000,4,"Female",40,35,95,8,9,5,7,1,2,11000,0,0,0,2,1,5,3,-1.13582891254673,-0.890179311851689,-1.20247098953657,-2.39121677956854,-1.36023260338257,-0.740682860273162,0.215315315310994,0.021156797580425,1.20133876989135,1.45690012156724,2,0,"High Risk",0.00211360634081902,"Non-Resilient",0,2,1,0,1,0,1,0
4511000,11,"Female",90,100,161,10,10,10,10,4,3,24000,0,0,0,0,0,0,0,1.1455524345375,1.99547280777807,2.45789049279047,0.0280696226145673,-0.627113793110829,0.613898949389738,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.594187582562748,"Not Applicable",0,5,0,1,0,1,1,0
4512000,10,"Female",55,45,161,8,9,8,7,2,3,33000,0,0,1,2,1,2,3,-0.451414508421461,-0.44623283190865,2.45789049279047,-1.58478797884084,-0.627113793110829,1.55168635607944,0.215315315310994,0.021156797580425,-0.1556782115533,1.45690012156724,1,0,"Moderate Risk",0.365653896961691,"Non-Resilient",0,5,0,1,1,0,1,0
4514000,10,"Female",60,50,124,10,10,7,10,4,4,12000,0,0,1,0,0,3,0,-0.223276373713038,-0.22425959193713,0.405869661788948,0.0280696226145673,0.106005017160914,-0.636484259529862,-0.887029219871459,-0.779839558814468,0.296660782261584,-0.726143622596442,0,3,"Low Risk",0.365653896961691,"Not Applicable",0,3,1,0,0,1,0,1
4517000,7,"Female",35,30,99,8,9,9,9,3,3,9000,1,0,1,2,1,1,1,-1.36396704725515,-1.11215255182321,-0.98063089969857,-0.778359178113134,-0.627113793110829,-0.949080061759762,0.215315315310994,0.021156797580425,-0.608017205368183,0.00153762545811847,0,1,"Moderate Risk",0.0470277410832233,"Non-Resilient",0,2,1,0,1,0,1,0
4522000,10,"Female",95,75,114,8,10,8,8,6,3,26000,0,0,0,2,0,2,2,1.37369056924592,0.88560660792047,-0.148730562806059,1.64092722406997,-0.627113793110829,0.822296150876338,0.215315315310994,-0.779839558814468,-0.1556782115533,0.729218873512679,1,1,"Moderate Risk",0.365653896961691,"Non-Resilient",0,5,0,1,0,1,1,0
4528000,9,"Female",25,15,135,9,9,7,10,4,3,19000,0,0,0,1,1,3,0,-1.820243316672,-1.77807227173777,1.01592990884346,0.0280696226145673,-0.627113793110829,0.092905945673238,-0.335856952280232,0.021156797580425,0.296660782261584,-0.726143622596442,0,1,"Moderate Risk",0.229854689564069,"Non-Resilient",0,4,0,1,0,1,1,0
4532000,10,"Female",95,90,140,10,8,7,8,3,3,15000,0,0,0,0,2,3,2,1.37369056924592,1.55152632783503,1.29323002114096,-0.778359178113134,-0.627113793110829,-0.323888457299962,-0.887029219871459,0.822153153975318,0.296660782261584,0.729218873512679,2,1,"High Risk",0.365653896961691,"Non-Resilient",0,3,1,0,1,0,1,0
4535000,9,"Female",80,65,135,9,9,7,8,4,5,24000,0,0,0,1,1,3,2,0.689276165120653,0.44166012797743,1.01592990884346,0.0280696226145673,0.839123827432658,0.613898949389738,-0.335856952280232,0.021156797580425,0.296660782261584,0.729218873512679,1,0,"Moderate Risk",0.229854689564069,"Non-Resilient",0,5,0,1,0,1,0,1
4538000,9,"Female",45,60,95,10,10,9,7,2,3,16000,0,0,0,0,0,1,3,-0.907690777838306,0.21968688800591,-1.20247098953657,-1.58478797884084,-0.627113793110829,-0.219689856556662,-0.887029219871459,-0.779839558814468,-0.608017205368183,1.45690012156724,1,3,"Low Risk",0.229854689564069,"Not Applicable",0,3,1,0,1,0,1,0
4540000,11,"Female",75,80,121,10,10,10,10,3,4,13000,0,0,0,0,0,0,0,0.46113803041223,1.10757984789199,0.239489594410446,-0.778359178113134,0.106005017160914,-0.532285658786562,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.594187582562748,"Not Applicable",0,3,1,0,1,0,0,1
4541000,8,"Female",50,70,117,6,10,3,9,3,3,10000,0,0,0,4,0,7,1,-0.679552643129884,0.66363336794895,0.017649504572443,-0.778359178113134,-0.627113793110829,-0.844881461016462,1.31765985049345,-0.779839558814468,2.10601675752112,0.00153762545811847,2,1,"High Risk",0.115455746367239,"Non-Resilient",0,2,1,0,1,0,1,0
4545000,7,"Female",50,25,99,0,9,8,6,3,2,19000,0,0,1,10,1,2,4,-0.679552643129884,-1.33412579179473,-0.98063089969857,-0.778359178113134,-1.36023260338257,0.092905945673238,4.62469345604081,0.021156797580425,-0.1556782115533,2.1845813696218,2,0,"High Risk",0.0470277410832233,"Non-Resilient",0,4,0,1,1,0,1,0
4546000,10,"Female",100,35,145,6,9,10,2,6,2,13000,0,0,1,4,1,0,8,1.60182870395434,-0.890179311851689,1.57053013343846,1.64092722406997,-1.36023260338257,-0.532285658786562,1.31765985049345,0.021156797580425,-1.06035619918307,5.09530636184004,2,1,"High Risk",0.365653896961691,"Non-Resilient",0,3,1,0,0,1,1,0
4547000,8,"Female",80,35,85,9,8,6,9,6,3,27000,0,0,0,1,2,4,1,0.689276165120653,-0.890179311851689,-1.75707121413158,1.64092722406997,-0.627113793110829,0.926494751619638,-0.335856952280232,0.822153153975318,0.748999776076467,0.00153762545811847,2,0,"High Risk",0.115455746367239,"Non-Resilient",0,5,0,1,0,1,1,0
4557000,10,"Female",85,30,99,4,5,3,10,3,3,12000,1,0,1,6,5,7,0,0.917414299829076,-1.11215255182321,-0.98063089969857,-0.778359178113134,-0.627113793110829,-0.636484259529862,2.4200043856759,3.22514222316,2.10601675752112,-0.726143622596442,3,1,"High Risk",0.365653896961691,"Non-Resilient",0,2,1,0,1,0,1,0
4559000,10,"Female",90,70,117,7,8,9,8,3,5,10000,1,0,1,3,2,1,2,1.1455524345375,0.66363336794895,0.017649504572443,-0.778359178113134,0.839123827432658,-0.844881461016462,0.766487582902221,0.822153153975318,-0.608017205368183,0.729218873512679,3,1,"High Risk",0.365653896961691,"Non-Resilient",0,2,1,0,1,0,0,1
4562000,11,"Female",70,45,110,8,8,9,9,3,5,24000,0,0,0,2,2,1,1,0.232999895703807,-0.44623283190865,-0.370570652644062,-0.778359178113134,0.839123827432658,0.613898949389738,0.215315315310994,0.822153153975318,-0.608017205368183,0.00153762545811847,1,1,"Moderate Risk",0.594187582562748,"Non-Resilient",0,5,0,1,1,0,0,1
4569000,11,"Female",70,50,117,10,8,6,10,5,6,48000,0,1,1,0,2,4,0,0.232999895703807,-0.22425959193713,0.017649504572443,0.834498423342269,1.5722426377044,3.11466536722894,-0.887029219871459,0.822153153975318,0.748999776076467,-0.726143622596442,2,2,"High Risk",0.594187582562748,"Non-Resilient",0,5,0,1,0,1,0,1
4575000,11,"Female",75,60,129,7,10,9,9,2,4,14000,0,0,1,3,0,1,1,0.46113803041223,0.21968688800591,0.683169774086452,-1.58478797884084,0.106005017160914,-0.428087058043262,0.766487582902221,-0.779839558814468,-0.608017205368183,0.00153762545811847,1,2,"Low Risk",0.594187582562748,"Not Applicable",0,3,1,0,1,0,0,1
4577000,11,"Female",90,45,131,10,9,10,9,2,6,18000,0,0,0,0,1,0,1,1.1455524345375,-0.44623283190865,0.794089819005453,-1.58478797884084,1.5722426377044,-0.011292655070062,-0.887029219871459,0.021156797580425,-1.06035619918307,0.00153762545811847,0,2,"Low Risk",0.594187582562748,"Not Applicable",0,4,0,1,1,0,0,1
4578000,10,"Female",90,65,114,10,10,10,8,3,5,25000,0,0,1,0,0,0,2,1.1455524345375,0.44166012797743,-0.148730562806059,-0.778359178113134,0.839123827432658,0.718097550133038,-0.887029219871459,-0.779839558814468,-1.06035619918307,0.729218873512679,1,3,"Low Risk",0.365653896961691,"Not Applicable",0,5,0,1,1,0,0,1
4580000,7,"Female",30,40,95,8,9,8,9,2,3,16000,0,0,1,2,1,2,1,-1.59210518196357,-0.66820607188017,-1.20247098953657,-1.58478797884084,-0.627113793110829,-0.219689856556662,0.215315315310994,0.021156797580425,-0.1556782115533,0.00153762545811847,0,0,"Moderate Risk",0.0470277410832233,"Non-Resilient",0,4,0,1,1,0,1,0
4582000,11,"Female",30,45,121,9,10,9,7,4,4,21000,0,0,0,1,0,1,3,-1.59210518196357,-0.44623283190865,0.239489594410446,0.0280696226145673,0.106005017160914,0.301303147159838,-0.335856952280232,-0.779839558814468,-0.608017205368183,1.45690012156724,1,2,"Low Risk",0.594187582562748,"Not Applicable",0,4,0,1,0,1,0,1
4593000,11,"Female",85,20,154,9,10,10,10,4,3,21000,1,0,1,1,0,0,0,0.917414299829076,-1.55609903176625,2.06967033557397,0.0280696226145673,-0.627113793110829,0.301303147159838,-0.335856952280232,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,3,"Low Risk",0.594187582562748,"Not Applicable",0,4,0,1,0,1,1,0
4597000,10,"Female",75,40,95,9,10,6,8,2,5,59000,0,0,0,1,0,4,2,0.46113803041223,-0.66820607188017,-1.20247098953657,-1.58478797884084,0.839123827432658,4.26084997540524,-0.335856952280232,-0.779839558814468,0.748999776076467,0.729218873512679,2,1,"High Risk",0.365653896961691,"Non-Resilient",0,5,0,1,1,0,0,1
4600000,11,"Female",80,50,99,8,8,8,10,5,4,24000,0,0,0,2,2,2,0,0.689276165120653,-0.22425959193713,-0.98063089969857,0.834498423342269,0.106005017160914,0.613898949389738,0.215315315310994,0.822153153975318,-0.1556782115533,-0.726143622596442,1,1,"Moderate Risk",0.594187582562748,"Non-Resilient",0,5,0,1,0,1,0,1
4602000,8,"Female",90,60,114,9,10,6,10,3,3,12000,0,0,1,1,0,4,0,1.1455524345375,0.21968688800591,-0.148730562806059,-0.778359178113134,-0.627113793110829,-0.636484259529862,-0.335856952280232,-0.779839558814468,0.748999776076467,-0.726143622596442,1,2,"Low Risk",0.115455746367239,"Not Applicable",0,2,1,0,1,0,1,0
4603000,10,"Female",75,60,140,8,10,10,10,3,3,20000,0,0,0,2,0,0,0,0.46113803041223,0.21968688800591,1.29323002114096,-0.778359178113134,-0.627113793110829,0.197104546416538,0.215315315310994,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,3,"Low Risk",0.365653896961691,"Not Applicable",0,4,0,1,1,0,1,0
4608000,6,"Female",75,20,99,9,8,5,10,1,5,20000,0,1,1,1,2,5,0,0.46113803041223,-1.55609903176625,-0.98063089969857,-2.39121677956854,0.839123827432658,0.197104546416538,-0.335856952280232,0.822153153975318,1.20133876989135,-0.726143622596442,2,1,"High Risk",0.0105680317040951,"Non-Resilient",0,4,0,1,1,0,0,1
4614000,11,"Female",70,65,121,9,10,8,8,6,6,22000,0,0,1,1,0,2,2,0.232999895703807,0.44166012797743,0.239489594410446,1.64092722406997,1.5722426377044,0.405501747903138,-0.335856952280232,-0.779839558814468,-0.1556782115533,0.729218873512679,1,1,"Moderate Risk",0.594187582562748,"Non-Resilient",0,5,0,1,0,1,0,1
4626000,6,"Female",30,5,92,10,10,3,9,4,4,15000,1,0,1,0,0,7,1,-1.59210518196357,-2.22201875168081,-1.36885105691507,0.0280696226145673,0.106005017160914,-0.323888457299962,-0.887029219871459,-0.779839558814468,2.10601675752112,0.00153762545811847,1,2,"Low Risk",0.0105680317040951,"Not Applicable",0,3,1,0,0,1,0,1
4627000,11,"Female",80,90,129,10,10,10,10,5,3,14000,0,0,0,0,0,0,0,0.689276165120653,1.55152632783503,0.683169774086452,0.834498423342269,-0.627113793110829,-0.428087058043262,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.594187582562748,"Not Applicable",0,3,1,0,0,1,1,0
4629000,9,"Female",25,25,121,9,10,6,9,5,3,12000,0,0,0,1,0,4,1,-1.820243316672,-1.33412579179473,0.239489594410446,0.834498423342269,-0.627113793110829,-0.636484259529862,-0.335856952280232,-0.779839558814468,0.748999776076467,0.00153762545811847,1,1,"Moderate Risk",0.229854689564069,"Non-Resilient",0,3,1,0,0,1,1,0
