"ID","LC_Did_English","Did_Maths","LC_Maths_Level","LC_English_Level","LC_Maths_Points","LC_English_Points","TIPI_Agreeable_YP_W4","TIPI_EmoStab_YP_W4","TIPI_Cons_YP_W4","TIPI_Extra_YP_W4","TIPI_Open_YP_W4","CognitiveNamingFruit_W4","TIPI_Agreeable_PCG_W4","TIPI_EmoStab_PCG_W4","TIPI_Cons_PCG_W4","TIPI_Extra_PCG_W4","TIPI_Open_PCG_W4","Grinds_All_Subjects_W4","Grinds_English_W4","Grinds_Maths_W4","TIPI_Extra_YP_W3","TIPI_Agreeable_YP_W3","TIPI_Cons_YP_W3","TIPI_EmoStab_YP_W3","TIPI_Open_YP_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","TIPI_Extra_SCG_W3","TIPI_Agreeable_SCG_W3","TIPI_Cons_SCG_W3","TIPI_EmoStab_SCG_W3","TIPI_Open_SCG_W3","SDQ_Emo_PCG_W3","SDQ_Conduct_PCG_W3","SDQ_Hyper_PCG_W3","SDQ_Peer_PCG_W3","SDQ_Emo_SCG_W3","SDQ_Conduct_SCG_W3","SDQ_Hyper_SCG_W3","SDQ_Peer_SCG_W3","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","Gender_YP_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","School_Type_W3","Number_Boys_School_W3","Number_Girls_School_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","SDQ_Emo_Res_SCG_W3","SDQ_Good_Conduct_SCG_W3","SDQ_Focus_Behav_SCG_W3","SDQ_Posi_Peer_SCG_W3","Fee_Paying_W3","Non_Fee_Paying_W3","Vocational_W3","Community_College_W3","Comprehensive_School_W3","School_Gender_Type","Girls_Only_School","Boys_Only_School","Mixed_School","School_Gender_Type_W3","Girls_Only_School_W3","Boys_Only_School_W3","Mixed_W3","JC_English_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","JC_Maths_Points","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Extra_PCG_W2","TIPI_Open_PCG_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2"
7036000,1,1,"Ordinary","Higher",35,35,5.5,6,5,4,6,13,6,6,4.5,5.5,4.5,1,0,0,4,4,4.5,4,6.5,4.5,5,6,6.5,6,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,19,3,7,0,4,NA,4,0,2,0,5,10,9,9,9,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,NA,70,25,129,9,9,6,9,4,3,5,NA,1.5,3.5,2.5,5.5,5.5,0,0,0,0
7038000,1,1,"Ordinary","Higher",45,45,6,5.5,5.5,3,5.5,14,6,6,6,5.5,5.5,1,NA,NA,2,5.5,6,6,5.5,5,4.5,5.5,6.5,6.5,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,28,4,15,0,5,NA,3,0,5,4,4,10,8,10,9,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1,9,100,75,95,10,8,7,9,5,NA,2,10,4.5,2.5,3,3,2.5,0,0,1,0
7040000,1,1,"Ordinary","Ordinary/Foundation",35,35,6,4.5,5.5,4.5,5.5,9,6.5,4,6.5,2.5,4,0,NA,NA,3.5,4.5,5.5,2.5,6.5,4,5.5,5.5,4.5,5.5,NA,NA,NA,NA,NA,3,0,0,1,NA,NA,NA,NA,25,1,7,0,2,NA,1,0,5,4,4,7,9,10,9,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1,8,45,85,92,10,9,10,9,2,NA,NA,10,7,7,7,2,6.5,0,0,1,0
7041000,1,1,"Ordinary","Ordinary/Foundation",15,15,4.5,4,7,3.5,4,17,7,6.5,7,4.5,7,1,0,0,2,5,4,4.5,7,4,5,2.5,4.5,6,NA,NA,NA,NA,NA,3,1,3,6,NA,NA,NA,NA,23,1,7,0,4,NA,2,1,3,1,1,7,8,7,4,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1,7,50,40,107,7,7,4,0,4,4,2,8,4.5,4,3,2.5,3.5,1,0,1,0
7044000,1,1,"Higher","Higher",70,70,4.5,5,5.5,5.5,5.5,13,7,6.5,4.5,3,6.5,1,NA,NA,5,4,4.5,6,6.5,5,6,6.5,7,6,4.5,7,6.5,7,5.5,2,0,1,0,0,0,1,3,20,2,10,0,4,3,5,NA,NA,NA,NA,8,9,9,10,10,9,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,45,117,10,10,10,10,4,3,5,10,7,4.5,5.5,2.5,6,0,0,1,0
7046000,1,1,"Ordinary","Higher",25,25,4.5,5,5,4,6,13,6.5,6,6.5,2.5,6,0,NA,NA,5.5,4.5,5,4,6.5,4,6,4,5.5,6.5,7,4,7,6,7,2,1,4,1,0,2,3,1,18,1,9,0,3,3,4,0,2,0,5,8,8,6,9,10,7,7,9,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,10,20,20,124,7,8,6,9,3,3,3,7,6.5,3.5,3.5,3,3,0,0,0,0
7047000,1,1,"Ordinary","Higher",50,50,4.5,3,4,4.5,5,12,6,4,6,4,4.5,1,NA,NA,5.5,3.5,5,5,5.5,5,6,5.5,6,5.5,NA,NA,NA,NA,NA,1,0,3,0,NA,NA,NA,NA,20,3,12,0,5,NA,NA,0,2,0,5,9,9,7,10,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,12,70,40,124,10,10,7,8,5,2,3,10,3,2.5,3.5,3.5,3,0,0,0,0
7048000,1,1,"Higher","Higher",95,95,6.5,6,3.5,5.5,5.5,14,6.5,4.5,6.5,5.5,4.5,1,NA,NA,5.5,6,5,4.5,5.5,7,6.5,4.5,6.5,4.5,NA,NA,NA,NA,NA,1,0,2,1,NA,NA,NA,NA,26,1,10,0,5,NA,NA,0,2,0,5,9,9,8,9,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,11,75,45,124,10,9,6,10,5,6,4,11,2.5,1.5,6,3.5,2.5,0,0,0,0
7052000,1,1,"Ordinary","Ordinary/Foundation",60,NA,6,3.5,6,5.5,5.5,21,7,4.5,6,6.5,7,1,1,0,4.5,5,6,3,5.5,6,7,7,5,7,NA,NA,NA,NA,NA,2,1,0,0,NA,NA,NA,NA,31,4,8,0,4,NA,3,0,2,0,5,8,8,10,10,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,9,60,65,99,7,8,6,8,4,2,3,9,7,4,4,4,3.5,0,0,0,0
7056000,1,1,"Ordinary","Higher",NA,NA,6,5.5,6,6,6,19,6.5,6.5,6.5,3,4.5,1,NA,NA,4.5,6,5.5,6,6.5,5,6.5,4.5,4,5.5,3.5,4.5,4.5,3.5,5,2,0,1,0,2,1,2,1,25,2,7,0,3,3,2,0,4,4,4,8,9,9,10,8,8,8,9,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1,NA,75,30,124,10,9,10,10,3,3,2,NA,3,1.5,3.5,2,7,0,0,1,0
