"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg","Maths_points_jittered"
112000,9,"Male",55,50,114,6,9,3,10,3,3,16000,0,0,1,4,1,7,0,-0.451414508421461,-0.22425959193713,-0.148730562806059,-0.778359178113134,-0.627113793110829,-0.219689856556662,1.31765985049345,0.021156797580425,2.10601675752112,-0.726143622596442,2,1,"High Risk",0.280317040951123,"Non-Resilient",1,3,1,0,1,0,1,0,8.97789097852074
118000,10,"Male",65,90,99,10,10,8,10,3,3,14000,0,0,1,0,0,2,0,0.00486176099538475,1.55152632783503,-0.98063089969857,-0.778359178113134,-0.627113793110829,-0.428087058043262,-0.887029219871459,-0.779839558814468,-0.1556782115533,-0.726143622596442,0,3,"Low Risk",0.547952443857332,"Not Applicable",1,3,1,0,1,0,1,0,10.0610526894219
120000,11,"Male",85,100,145,10,10,10,9,4,5,30000,0,0,1,0,0,0,1,0.917414299829076,1.99547280777807,1.57053013343846,0.0280696226145673,0.839123827432658,1.23909055384954,-0.887029219871459,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,3,"Low Risk",0.820343461030383,"Not Applicable",1,5,0,1,0,1,0,1,11.0537111439742
121000,9,"Male",95,40,117,9,7,8,8,4,4,6000,0,0,1,1,3,2,2,1.37369056924592,-0.66820607188017,0.017649504572443,0.0280696226145673,0.106005017160914,-1.26167586398966,-0.335856952280232,1.62314951037021,-0.1556782115533,0.729218873512679,2,0,"High Risk",0.273447820343461,"Non-Resilient",1,1,1,0,0,1,0,1,8.96818145797588
124000,9,"Male",90,50,121,9,10,1,6,3,3,10000,0,0,0,1,0,9,4,1.1455524345375,-0.22425959193713,0.239489594410446,-0.778359178113134,-0.627113793110829,-0.844881461016462,-0.335856952280232,-0.779839558814468,3.01069474515088,2.1845813696218,2,1,"High Risk",0.355878467635403,"Non-Resilient",1,2,1,0,1,0,1,0,9.08757868772373
125000,7,"Male",90,40,99,8,7,2,10,4,4,15000,0,0,1,2,3,8,0,1.1455524345375,-0.66820607188017,-0.98063089969857,0.0280696226145673,0.106005017160914,-0.323888457299962,0.215315315310994,1.62314951037021,2.558355751336,-0.726143622596442,2,1,"High Risk",0.0797886393659181,"Non-Resilient",1,3,1,0,0,1,0,1,7.00076625598595
133000,11,"Male",55,85,110,8,10,10,10,4,3,20000,0,0,0,2,0,0,0,-0.451414508421461,1.32955308786351,-0.370570652644062,0.0280696226145673,-0.627113793110829,0.197104546416538,0.215315315310994,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,3,"Low Risk",0.69220607661823,"Not Applicable",1,4,0,1,0,1,1,0,10.9648554616142
134000,10,"Male",80,90,124,8,10,8,10,5,5,17000,0,0,0,2,0,2,0,0.689276165120653,1.55152632783503,0.405869661788948,0.834498423342269,0.839123827432658,-0.115491255813362,0.215315315310994,-0.779839558814468,-0.1556782115533,-0.726143622596442,0,2,"Low Risk",0.469220607661823,"Not Applicable",1,4,0,1,0,1,0,1,9.98852908890694
138000,9,"Male",80,50,121,7,9,7,7,5,5,40000,0,1,1,3,1,3,3,0.689276165120653,-0.22425959193713,0.239489594410446,0.834498423342269,0.839123827432658,2.28107656128254,0.766487582902221,0.021156797580425,0.296660782261584,1.45690012156724,2,0,"High Risk",0.294319682959049,"Non-Resilient",1,5,0,1,0,1,0,1,8.9973946955055
143000,11,"Male",90,45,124,10,10,9,8,4,5,14000,0,0,0,0,0,1,2,1.1455524345375,-0.44623283190865,0.405869661788948,0.0280696226145673,0.839123827432658,-0.428087058043262,-0.887029219871459,-0.779839558814468,-0.608017205368183,0.729218873512679,1,3,"Low Risk",0.840686922060766,"Not Applicable",1,3,1,0,0,1,0,1,11.0683205281384
144000,8,"Male",30,45,103,9,8,8,8,6,6,33000,0,0,0,1,2,2,2,-1.59210518196357,-0.44623283190865,-0.758790809860567,1.64092722406997,1.5722426377044,1.55168635607944,-0.335856952280232,0.822153153975318,-0.1556782115533,0.729218873512679,2,0,"High Risk",0.225627476882431,"Non-Resilient",1,5,0,1,0,1,0,1,8.08983188229613
146000,10,"Male",40,85,161,10,10,9,9,3,2,24000,0,0,0,0,0,1,1,-1.13582891254673,1.32955308786351,2.45789049279047,-0.778359178113134,-1.36023260338257,0.613898949389738,-0.887029219871459,-0.779839558814468,-0.608017205368183,0.00153762545811847,0,3,"Low Risk",0.47661822985469,"Not Applicable",1,5,0,1,1,0,1,0,9.99407396246679
