"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
3043000,12,45,90,129,9,9,9,10,4,3,1,0,0,1,1,115,21,4,8,10,9,9,9,4,3,1,0,0,1,1,1.283830115446,1.3924099393345
3045000,10,90,80,129,10,10,7,10,5,2,4,0,0,1,1,20,33,4,8,8,9,4,8,5,3,4,0,0,1,1,-0.0528199401458571,-1.31058327547659
3048000,10,60,40,131,10,10,9,10,5,3,5,0,0,0,1,37,27,2,8,10,9,9,10,5,3,4,0,0,0,1,-0.0528199401458571,-0.826889752826185
3049000,10,65,65,114,9,10,9,9,3,4,4,1,0,1,1,50,19,4,7,10,9,10,9,3,4,3,1,0,0,1,-0.0528199401458571,-0.457006470799405
3058000,12,95,95,124,10,10,10,10,6,3,5,0,0,1,1,125,22,4,13,10,8,10,10,6,3,4,0,0,1,1,1.283830115446,1.67693554089356
3061000,9,90,45,95,10,10,10,10,3,3,2,0,0,0,1,28,22,2,15,9,9,7,8,3,3,2,0,0,0,1,-0.721144967941786,-1.08296279422934
3062000,10,75,50,114,8,7,7,10,4,3,2,0,0,0,1,91,31,3,6,8,6,8,8,4,3,4,0,0,0,1,-0.0528199401458571,0.709548495592749
3063000,12,55,90,140,8,10,8,8,4,3,1,0,0,0,1,113,21,4,10,10,9,10,8,4,3,1,0,0,0,1,1.283830115446,1.33550481902268
3065000,10,65,50,117,10,10,7,8,5,6,3,0,0,0,1,46,22,3,6,10,9,8,10,5,6,3,1,0,1,1,-0.0528199401458571,-0.570816711423029
3066000,7,55,45,110,10,10,8,8,3,3,2,0,0,0,1,28,23,3,4,9,9,7,8,3,3,1,0,0,0,1,-2.05779502353364,-1.08296279422934
3067000,12,75,90,124,9,9,8,9,6,6,5,1,0,1,1,90,26,2,9,8,9,10,9,6,6,4,1,0,1,1,1.283830115446,0.681095935436843
3075000,10,90,80,135,9,9,8,10,6,6,1,0,0,0,1,81,18,4,10,9,8,10,10,6,6,2,0,0,0,1,-0.0528199401458571,0.425022894033687
3080000,9,45,60,110,9,8,9,9,3,2,4,0,0,1,1,46,20,3,9,10,9,10,9,3,2,3,0,0,1,1,-0.721144967941786,-0.570816711423029
3082000,11,35,45,110,5,10,8,10,3,3,3,1,0,1,1,81,21,2,2,7,8,10,10,3,3,3,0,0,1,1,0.615505087650072,0.425022894033687
3083000,10,70,75,128,9,10,3,8,4,4,4,0,0,1,1,91,34,4,7,9,8,6,10,4,3,4,0,0,1,1,-0.0528199401458571,0.709548495592749
3092000,7,50,25,103,4,6,7,7,3,4,4,0,0,0,1,15,23,3,7,9,7,6,8,3,4,4,1,0,0,1,-2.05779502353364,-1.45284607625612
3093000,10,75,35,110,9,9,5,10,3,4,3,0,0,0,1,37,29,3,11,8,9,7,10,3,4,4,1,0,0,1,-0.0528199401458571,-0.826889752826185
3094000,10,70,45,117,10,10,5,10,3,3,5,0,0,0,1,45,25,4,7,10,9,10,7,3,2,5,1,0,0,1,-0.0528199401458571,-0.599269271578936
3103000,8,45,45,99,9,9,10,10,4,4,4,0,0,1,1,15,17,1,6,10,7,7,10,3,4,5,0,0,1,1,-1.38946999573772,-1.45284607625612
3111000,10,85,60,129,10,10,10,10,6,5,4,0,0,1,1,91,23,3,9,9,8,10,8,6,5,5,0,0,1,1,-0.0528199401458571,0.709548495592749
3126000,9,70,90,131,9,9,8,10,5,4,3,0,0,0,1,25,33,4,12,9,8,8,10,3,3,3,0,0,0,1,-0.721144967941786,-1.16832047469706
3131000,9,80,60,103,10,10,6,8,4,3,3,0,0,1,1,37,16,3,12,10,9,6,9,3,3,2,0,0,1,1,-0.721144967941786,-0.826889752826185
3133000,9,50,95,124,9,10,5,10,4,2,4,0,0,1,1,15,20,2,5,10,9,5,9,3,2,4,0,0,1,1,-0.721144967941786,-1.45284607625612
3137000,11,90,25,110,5,6,5,7,3,2,3,0,0,0,1,37,17,4,9,3,5,5,7,3,2,3,0,0,0,1,0.615505087650072,-0.826889752826185
3145000,12,95,85,140,10,8,10,10,6,6,5,0,0,1,1,125,27,4,8,10,9,9,10,6,6,4,0,0,1,1,1.283830115446,1.67693554089356
3146000,11,45,50,117,9,10,9,9,4,5,2,0,0,1,1,102,22,4,10,7,8,9,10,4,5,2,0,0,1,1,0.615505087650072,1.02252665730772
