"Household_ID","LC_Did_English","Did_Maths","LC_Maths_Level","LC_English_Level","LC_Maths_Points","LC_English_Points","TIPI_Agreeable_YP_W4","TIPI_EmoStab_YP_W4","TIPI_Cons_YP_W4","TIPI_Extra_YP_W4","TIPI_Open_YP_W4","CognitiveNamingFruit_W4","TIPI_Agreeable_PCG_W4","TIPI_EmoStab_PCG_W4","TIPI_Cons_PCG_W4","TIPI_Extra_PCG_W4","TIPI_Open_PCG_W4","Grinds_All_Subjects_W4","Grinds_English_W4","Grinds_Maths_W4","TIPI_Extra_YP_W3","TIPI_Agreeable_YP_W3","TIPI_Cons_YP_W3","TIPI_EmoStab_YP_W3","TIPI_Open_YP_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","TIPI_Extra_SCG_W3","TIPI_Agreeable_SCG_W3","TIPI_Cons_SCG_W3","TIPI_EmoStab_SCG_W3","TIPI_Open_SCG_W3","SDQ_Emo_PCG_W3","SDQ_Conduct_PCG_W3","SDQ_Hyper_PCG_W3","SDQ_Peer_PCG_W3","SDQ_Emo_SCG_W3","SDQ_Conduct_SCG_W3","SDQ_Hyper_SCG_W3","SDQ_Peer_SCG_W3","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","Gender_YP_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","School_Type_W3","Number_Boys_School_W3","Number_Girls_School_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","SDQ_Emo_Res_SCG_W3","SDQ_Good_Conduct_SCG_W3","SDQ_Focus_Behav_SCG_W3","SDQ_Posi_Peer_SCG_W3","Fee_Paying_W3","Non_Fee_Paying_W3","Vocational_W3","Community_College_W3","Comprehensive_School_W3","School_Gender_Type","Girls_Only_School","Boys_Only_School","Mixed_School","School_Gender_Type_W3","Girls_Only_School_W3","Boys_Only_School_W3","Mixed_School_W3"
1103000,1,1,"Ordinary","Higher",46,46,4.5,7,6,4,5,12,6,3,5,4.5,4.5,1,NA,NA,3,4.5,4.5,7,5.5,4,6,5,6,7,4,4.5,4,4.5,6,1,0,0,1,2,0,1,1,32,1,10,1,3,3,2,NA,NA,NA,NA,9,9,10,9,8,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104000,1,1,"Higher","Higher",80,80,5,5.5,6,4,6,12,6.5,4,6,3.5,4,1,NA,NA,6.5,4,6,5.5,6,4.5,6,6,6,5,5,4,6,6,7,1,0,1,2,0,0,2,1,22,3,5,1,5,5,5,NA,NA,NA,NA,9,9,9,8,10,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1105000,1,1,"Ordinary","Higher",NA,NA,5,5.5,5.5,5,4.5,16,4.5,3.5,7,5.5,6.5,1,0,0,5,4.5,5.5,5,5.5,5,4.5,1.5,2.5,4,5,4,2,3,3,3,3,7,1,3,4,10,1,20,3,4,1,5,4,2,0,5,NA,NA,7,6,3,9,7,5,0,9,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
1106000,1,1,"Ordinary","Ordinary/Foundation",0,0,4,6.5,4.5,7,7,18,7,7,6,1,4,1,NA,NA,5.5,5.5,4.5,6.5,7,2,7,4,6.5,5,NA,NA,NA,NA,NA,0,2,5,0,NA,NA,NA,NA,29,1,6,1,4,NA,4,1,3,3,3,10,7,5,10,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1107000,1,1,"Ordinary","Ordinary/Foundation",NA,NA,4,6.5,4,6,5,12,6,4.5,6,5.5,6,1,NA,NA,6.5,3.5,5,4.5,6.5,6.5,3.5,5,3,5,5,5,5,3.5,4,3,5,4,0,1,4,5,1,28,2,8,1,3,3,4,NA,NA,NA,NA,7,4,6,10,9,5,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112000,1,1,"Ordinary","Higher",45,45,4.5,5,3.5,7,6,10,5,6,4.5,6.5,3.5,0,NA,NA,4.5,4,3.5,6.5,4.5,4,4.5,3,4,3.5,NA,NA,NA,NA,NA,2,2,4,2,NA,NA,NA,NA,15,4,9,1,6,NA,5,0,3,2,2,8,7,6,8,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1113000,1,1,"Ordinary","Ordinary/Foundation",40,40,3.5,3.5,4.5,3,3.5,9,3.5,5,4,4.5,5,0,0,0,3.5,5,3,3,3.5,4,4.5,4,4.5,4,NA,NA,NA,NA,NA,2,1,5,4,NA,NA,NA,NA,14,2,8,1,3,NA,1,NA,NA,NA,NA,8,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114000,1,1,"Higher","Higher",105,NA,4,5,5.5,5.5,5.5,14,3.5,4.5,6,7,5,0,NA,NA,6.5,3,5.5,7,5.5,7,7,5,6.5,5,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,21,4,8,1,4,NA,3,0,3,4,4,10,9,10,9,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1115000,1,1,"Foundation","Ordinary/Foundation",20,20,5,5.5,7,5,6,12,6,4.5,7,4.5,6.5,1,NA,NA,4.5,6,6,6.5,6.5,6.5,5.5,4,7,3.5,6.5,5.5,2.5,3.5,3.5,1,1,2,6,2,0,6,7,18,1,9,1,4,5,NA,0,5,5,5,9,8,8,4,8,9,4,3,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
1116000,1,1,"Ordinary","Higher",37,37,5.5,5,6,2.5,4.5,14,4.5,3,6,5,7,0,NA,NA,3.5,4,6.5,4,4.5,3,6,4.5,4,3,2.5,5.5,5,5,5.5,2,0,2,1,2,1,3,2,20,1,10,1,4,6,4,0,1,4,0,8,9,8,9,8,8,7,8,1,0,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1117000,NA,NA,NA,NA,NA,NA,6.5,7,4.5,7,4,6,5,4.5,5,6,7,0,NA,NA,7,7,6.5,7,4,2.5,3.5,2.5,4,4,1,3,2,1.5,3,3,7,5,1,7,8,5,4,14,1,4,1,4,NA,4,0,5,5,5,7,2,5,9,3,1,5,6,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
1118000,1,1,"Higher","Higher",102,NA,3,6,7,6.5,5.5,14,5,2,7,3,5,1,NA,NA,7,4,7,6.5,6,6,4.5,4,5.5,6,6,4.5,6.5,5.5,6,0,2,2,3,1,2,2,4,11,3,11,1,5,6,5,0,2,5,0,10,7,8,7,9,7,8,6,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1120000,1,1,"Ordinary","Higher",20,20,4.5,3.5,6,5,6.5,16,6,4,3.5,3,5,1,NA,NA,6,3.5,6.5,5,6,5.5,6,4.5,5.5,5.5,6.5,6.5,7,7,6.5,0,1,4,0,0,0,0,0,27,3,9,1,3,1,3,0,2,5,0,10,8,6,10,10,9,10,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1123000,1,1,"Ordinary","Ordinary/Foundation",40,40,5.5,6,2.5,6.5,6,17,NA,NA,NA,NA,NA,0,NA,NA,5.5,4,5,5.5,5.5,6,4.5,4.5,6.5,6.5,NA,NA,NA,NA,NA,0,3,3,1,NA,NA,NA,NA,20,2,6,1,4,NA,5,0,2,4,4,10,6,7,9,NA,NA,NA,NA,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1124000,1,1,"Ordinary","Higher",20,20,4.5,3,4,4,6.5,13,6,5,7,2.5,7,1,NA,NA,6,4.5,7,5,7,6.5,7,4.5,6,6.5,6.5,7,3.5,7,5.5,2,0,3,0,1,0,3,0,18,1,6,1,5,5,5,0,2,NA,NA,8,9,7,10,9,9,7,10,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1125000,1,1,"Higher","Higher",91,91,3,5.5,5,5,4.5,19,6,7,6,5,5,1,NA,NA,5,3.5,4.5,6,4.5,4,5.5,3,6,4,4,4.5,5.5,5,5,1,0,2,0,1,2,3,2,16,4,10,1,3,3,5,0,5,5,5,9,9,8,10,9,7,7,8,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
1126000,1,1,"Ordinary","Higher",28,28,4,6.5,3,6.5,6.5,23,6.5,5.5,7,6.5,7,0,NA,NA,6.5,5.5,3.5,5,7,7,7,4.5,6.5,7,6.5,6.5,4.5,6.5,7,3,0,5,1,1,0,5,1,27,3,14,1,5,4,5,0,2,5,0,7,9,5,9,9,9,5,9,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1128000,1,1,"Ordinary","Higher",45,45,6,6,5,6,7,18,6.5,4,4.5,4.5,4.5,1,NA,NA,7,6,6,6,6.5,6,6,4.5,6,6,4.5,6.5,6,6,6.5,0,0,2,2,0,0,0,1,24,3,14,1,2,2,2,NA,NA,NA,NA,10,9,8,8,10,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129000,NA,NA,NA,NA,NA,NA,6.5,4.5,5.5,2,5.5,14,6,2.5,4.5,3,5,0,NA,NA,3.5,5,5.5,6,6.5,2,6.5,6,4,6,2.5,6.5,6,6,6,5,1,3,2,2,0,0,0,19,1,7,0,2,3,2,0,4,3,3,5,8,7,8,8,9,10,10,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1130000,1,1,"Ordinary","Ordinary/Foundation",0,0,4.5,5.5,3,3.5,5,11,6,2.5,4.5,3,5,0,NA,NA,3,4,6.5,6,5.5,2.5,6,4.5,4,6,2.5,6.5,6,6,6.5,3,3,0,5,4,2,0,6,16,0,9,1,2,3,2,0,4,3,3,7,6,10,5,6,7,10,4,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1131000,1,1,"Ordinary","Higher",45,45,4.5,6,6,6.5,6,18,6.5,4,6.5,4,5.5,1,NA,NA,6,5,6,5,5.5,5.5,5,5,5,5,4,6,5.5,7,4.5,1,1,5,1,0,0,0,1,19,4,4,1,3,NA,4,0,2,NA,NA,9,8,5,9,10,9,10,9,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1132000,1,1,"Ordinary","Ordinary/Foundation",20,20,4.5,6,5,5,5.5,10,5,3.5,4,5,4.5,1,1,1,4,6,4,7,6.5,2,5.5,4,5.5,3,3.5,6.5,6.5,7,4,2,0,3,1,3,0,4,2,11,1,7,1,3,3,1,0,2,NA,NA,8,9,7,9,7,9,6,8,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1133000,1,1,"Higher","Higher",85,85,6,4.5,4.5,6,4.5,14,5.5,4,6.5,2,6,1,NA,NA,6,5,6,6.5,4,5,6.5,5,7,5,3.5,7,4.5,7,6,0,0,0,1,0,0,1,2,20,3,9,1,5,5,5,0,4,5,5,10,9,10,9,10,9,9,8,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1136000,1,1,"Higher","Higher",125,NA,4.5,6.5,5.5,3.5,6,19,4,6,5.5,5,4.5,0,NA,NA,1.5,4.5,6.5,4.5,6,3.5,6.5,7,6.5,4.5,2,4.5,5.5,3.5,6,0,0,0,2,3,0,3,2,31,4,13,1,6,5,5,0,2,4,4,10,9,10,8,7,9,7,8,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1138000,1,1,"Higher","Higher",95,95,6,6.5,7,5,6,14,6.5,6.5,7,4,6,1,NA,NA,4,5.5,6.5,5.5,5.5,4,6,7,6.5,6,4,6.5,7,7,6.5,1,0,0,2,0,0,1,0,15,2,7,1,3,3,5,0,2,5,0,9,9,10,8,10,9,9,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1143000,1,1,"Higher","Ordinary/Foundation",NA,NA,5.5,4.5,6,5.5,5,18,7,7,7,5,6.5,0,NA,NA,6.5,5,6,7,6.5,6,7,5.5,7,6,4.5,7,6,6.5,6.5,1,0,4,2,1,0,1,1,23,2,7,1,2,2,1,0,4,3,3,9,9,6,8,9,9,9,9,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1146000,1,1,"Higher","Higher",95,95,4.5,4,5,2.5,6,17,6,2.5,6.5,3,5,1,NA,NA,3,4.5,5.5,4,4.5,5.5,6.5,6.5,5,6.5,4.5,3.5,6,5.5,6,1,1,2,0,0,1,3,1,NA,NA,NA,1,4,3,NA,0,2,5,0,9,8,8,10,10,8,7,9,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1147000,1,1,"Higher","Higher",85,85,5,5,6,3.5,6,20,5,3.5,6,5,4.5,1,NA,NA,4.5,5,6,5.5,5.5,4.5,5,7,5,7,2,4.5,6.5,4.5,6,3,0,1,1,1,0,1,2,20,3,12,1,3,3,3,0,2,5,0,7,9,9,9,9,9,9,8,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1149000,1,1,"Higher","Higher",95,95,3.5,4,4.5,5,6.5,15,6.5,4.5,5.5,5.5,5.5,1,NA,NA,5.5,4.5,3.5,4.5,5,4.5,6.5,7,7,5.5,7,6.5,7,7,6.5,0,0,4,0,1,0,5,0,27,4,11,1,4,4,4,1,3,NA,NA,10,9,6,10,9,9,5,10,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1151000,1,1,"Ordinary","Higher",60,60,4.5,5,3.5,3,5,12,6.5,6,7,4.5,5.5,0,NA,NA,3,4,4,3,3.5,6,6,6.5,6,6,5.5,6,5.5,6,4,0,0,0,0,0,0,1,0,16,4,12,1,3,2,3,1,3,NA,NA,10,9,10,10,10,9,9,10,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1153000,1,1,"Foundation","Higher",0,0,2.5,5,3.5,4,5.5,16,5,4,4.5,3,4.5,0,NA,NA,4,4,4,6,7,5.5,4,1.5,6.5,7,4.5,6,3.5,7,7,0,2,6,1,0,0,6,1,17,3,11,1,6,3,5,0,2,4,4,10,7,4,9,10,9,4,9,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1154000,1,1,"Higher","Ordinary/Foundation",95,95,4,4.5,3,5,4.5,8,4.5,7,5.5,7,7,1,0,1,4.5,3,3,5.5,5,3,3,5.5,5.5,6.5,3.5,3.5,5.5,5.5,7,0,4,0,3,2,4,1,4,14,4,12,1,6,6,5,NA,NA,NA,NA,10,5,10,7,8,5,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1155000,1,1,"Higher","Ordinary/Foundation",91,91,5.5,6,4.5,3.5,5.5,12,6.5,4.5,7,6.5,6.5,1,1,0,5,4,6,5.5,5,3.5,6.5,4.5,7,6,2.5,6,5,6.5,6,0,0,2,0,2,0,0,1,23,3,7,1,3,5,5,0,4,5,5,10,9,8,10,8,9,10,9,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1159000,1,1,"Higher","Higher",81,81,6,7,4.5,6,5.5,19,6,6,6,5.5,6.5,1,NA,NA,5.5,5,5.5,6.5,6,6.5,5,5,7,6,7,4.5,7,7,4,0,0,1,0,2,1,6,0,22,3,9,1,5,3,4,0,2,5,0,10,9,9,10,8,8,4,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1160000,1,1,"Ordinary","Higher",46,46,5.5,3.5,4,7,5,20,4,2,4.5,4.5,6,1,NA,NA,7,4,6,3.5,6.5,5,6.5,5.5,5,6.5,4.5,7,4,4,6,1,0,0,2,8,2,1,6,20,3,11,1,4,6,1,0,5,5,5,9,9,10,8,2,7,9,4,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
1161000,1,1,"Ordinary","Higher",30,30,5,7,7,4.5,3,6,5.5,5.5,5.5,4.5,6,0,NA,NA,6,5.5,6,6,6,4.5,6,6,5.5,6,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,18,3,6,1,1,NA,2,NA,NA,NA,NA,9,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162000,1,1,"Ordinary","Higher",45,45,5.5,3.5,4.5,6,6,12,6,6,6.5,5,5.5,1,NA,NA,6.5,4.5,5.5,6,6.5,7,6.5,6.5,6,7,6.5,6,4.5,6.5,6,0,3,0,1,0,2,6,2,26,3,5,1,4,3,4,NA,NA,NA,NA,10,6,10,9,10,7,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163000,1,1,"Higher","Higher",91,91,4.5,6,5.5,5.5,7,11,6,4.5,6,7,7,1,NA,NA,6,4.5,6,6,6.5,6,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,20,4,11,1,5,NA,3,0,1,4,0,10,8,9,8,NA,NA,NA,NA,1,0,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1167000,1,1,"Foundation","Higher",0,0,7,7,7,7,7,10,7,2,7,3,5.5,0,NA,NA,4.5,7,7,7,7,6.5,7,7,7,4,4.5,7,7,7,6.5,0,0,0,0,0,0,0,0,19,2,9,1,3,1,1,NA,NA,NA,NA,10,9,10,10,10,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1172000,1,1,"Ordinary","Higher",50,50,4,7,5,7,6.5,12,6,6.5,6.5,5.5,5.5,0,NA,NA,6,4.5,6.5,3,7,3.5,5,6,6,4.5,6.5,7,6.5,6,6,1,1,0,2,1,1,2,0,16,4,9,1,3,5,4,1,3,5,4,9,8,10,8,9,8,8,10,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1174000,1,1,"Ordinary","Higher",50,50,5.5,7,5,6,4.5,11,6.5,4.5,6.5,3.5,4.5,1,NA,NA,4.5,3.5,2,7,2.5,2,3.5,3,4.5,4,1,3,1.5,4.5,2.5,4,4,2,6,5,2,4,7,31,3,9,1,3,3,3,1,3,NA,NA,6,5,8,4,5,7,6,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1176000,1,1,"Ordinary","Ordinary/Foundation",NA,NA,3,5,4,5.5,6.5,10,6,5,7,3.5,3,0,NA,NA,5.5,3.5,4,5,5.5,4,7,4.5,4.5,6.5,4,6.5,5,5,7,2,0,3,1,5,0,4,1,20,3,3,1,3,3,1,1,3,NA,NA,8,9,7,9,5,9,6,9,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1180000,1,1,"Higher","Higher",91,91,6,7,6,4,6,13,4.5,4.5,4.5,4.5,4.5,1,1,1,4.5,5,6,6,6,3.5,6.5,7,7,6,2.5,6.5,6,4.5,6,2,0,0,3,3,2,1,0,29,2,8,1,3,3,2,0,2,5,0,8,9,10,7,7,7,9,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1181000,1,1,"Higher","Higher",37,37,5.5,6.5,5,4,6.5,10,5.5,6,6.5,2,4.5,1,NA,NA,4.5,4.5,5.5,5,5.5,4,7,7,7,6.5,3,4.5,2.5,4.5,3,0,0,0,0,3,2,4,1,15,4,7,1,6,5,5,0,2,5,0,10,9,10,10,7,7,6,9,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1188000,1,1,"Ordinary","Higher",40,40,4,5,6,4.5,3.5,8,5.5,5,6,2.5,5,1,NA,NA,3,4,4.5,4.5,4,2.5,6,5.5,4.5,4,4,3.5,5,5,5,5,0,1,2,3,0,3,2,15,1,4,1,3,3,3,1,4,5,5,5,9,9,8,7,9,7,8,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1190000,1,1,"Ordinary","Higher",25,25,3.5,1,2,1,4,12,7,7,6,2.5,6.5,1,NA,NA,1.5,3,2.5,1,6,3,5,4,3,5,2,6.5,5.5,2.5,3.5,3,0,2,3,8,0,3,9,20,1,16,1,3,6,2,0,2,5,0,7,9,8,7,2,9,7,1,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1191000,1,1,"Higher","Ordinary/Foundation",91,91,5,6,6,6,5.5,8,4.5,4,5.5,4.5,4.5,0,NA,NA,6.5,3,5,6,5,7,4,6.5,4.5,4,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,NA,NA,22,4,7,1,2,NA,5,0,1,3,2,9,7,7,8,NA,NA,NA,NA,1,0,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1194000,1,1,"Foundation","Ordinary/Foundation",0,0,5,5.5,4,3.5,6,13,6,4,6.5,2.5,5.5,0,NA,NA,4.5,4.5,3.5,6,5.5,4.5,4,2.5,5.5,5,NA,NA,NA,NA,NA,1,5,9,0,NA,NA,NA,NA,16,1,6,1,3,NA,5,0,2,5,0,9,4,1,10,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1196000,1,1,"Ordinary","Higher",28,28,5.5,5,3,5.5,5,17,5.5,4.5,4.5,4,5,0,NA,NA,4.5,5.5,4,2.5,4.5,3.5,4,3.5,4.5,4.5,2.5,6,4.5,7,7,2,0,3,0,0,0,2,2,25,2,8,1,3,3,3,0,2,5,0,8,9,7,10,10,9,8,8,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1197000,NA,NA,NA,NA,NA,NA,3.5,6,6.5,4,6.5,14,7,7,6.5,4,3.5,0,NA,NA,1.5,2,6.5,3,6,2,6.5,2.5,7,2,2,4.5,4,4,4,1,0,4,2,2,0,2,3,36,2,14,1,3,3,4,1,4,5,5,9,9,6,8,8,9,8,7,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
1198000,1,1,"Foundation","Ordinary/Foundation",0,0,5,1,3.5,3.5,5,12,7,4.5,5.5,5,2,0,NA,NA,5,7,5,2,5.5,4.5,6,2.5,4,6,NA,NA,NA,NA,NA,7,1,9,1,NA,NA,NA,NA,19,1,4,1,1,NA,1,0,2,5,0,3,8,1,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1199000,1,1,"Higher","Higher",113,NA,6,6.5,6,2,4.5,20,6.5,7,7,6,5.5,0,NA,NA,4,5.5,4.5,6,5.5,3.5,6.5,5,6.5,7,NA,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,27,4,9,1,3,NA,5,0,1,4,3,10,9,10,8,NA,NA,NA,NA,1,0,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1202000,1,1,"Ordinary","Higher",45,45,4,6,5,7,6,11,6.5,7,6.5,7,7,0,NA,NA,6,3,6.5,6.5,6,6.5,7,7,7,7,6.5,4,4.5,6.5,6.5,0,0,1,2,0,1,4,0,19,3,8,1,3,4,5,NA,NA,NA,NA,10,9,9,8,10,8,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208000,1,1,"Higher","Higher",85,85,5,4.5,6,7,6.5,11,7,4.5,7,7,7,1,0,1,7,4.5,6.5,4,6.5,7,7,5,6.5,4.5,6.5,6.5,7,7,4.5,0,1,2,0,0,0,1,0,15,2,11,1,3,3,5,0,2,5,0,10,8,8,10,10,9,9,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1210000,1,1,"Higher","Higher",125,NA,6,3.5,6,3.5,4.5,17,7,3.5,7,3,6,0,NA,NA,2.5,5.5,6,3.5,5.5,3.5,6.5,6.5,5,7,NA,NA,NA,NA,NA,2,0,0,4,NA,NA,NA,NA,17,3,15,1,3,NA,4,0,2,5,0,8,9,10,6,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1211000,1,1,"Higher","Higher",91,91,4.5,3.5,6,1.5,4,16,7,2,6.5,4.5,6,1,0,1,2,4.5,7,4,4,3.5,6,6,4.5,5.5,4,6,7,4.5,6,4,0,0,1,1,2,1,3,21,3,13,1,3,3,1,0,2,5,0,6,9,10,9,9,7,9,7,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1215000,1,1,"Ordinary","Ordinary/Foundation",30,30,5.5,5.5,4.5,5.5,5,15,6.5,6.5,7,4,6,0,NA,NA,6.5,4.5,6.5,6,6,7,7,5,7,6,7,7,7,6.5,6,0,0,2,0,0,0,1,0,22,2,7,1,3,3,5,0,2,5,5,10,9,8,10,10,9,9,10,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1217000,NA,NA,NA,NA,NA,NA,4.5,4,4.5,4.5,7,12,7,5,7,6,7,0,NA,NA,3,4.5,3.5,4.5,6,3,5.5,3.5,6,6.5,NA,NA,NA,NA,NA,5,0,4,0,NA,NA,NA,NA,22,1,12,1,3,NA,1,NA,NA,NA,NA,5,9,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221000,1,1,"Ordinary","Higher",37,37,4.5,5,6,3.5,4,15,5.5,2.5,5.5,3,4,0,NA,NA,5,4.5,5.5,6.5,4.5,5,7,7,7,6.5,5,6,7,5,4,0,0,0,0,1,0,1,3,16,2,9,1,3,3,NA,0,2,5,0,10,9,10,10,9,9,9,7,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1224000,1,1,"Ordinary","Ordinary/Foundation",15,15,4,5,7,5,7,13,7,5,7,5,6,0,NA,NA,5,6,4.5,6.5,5.5,6.5,7,4.5,6.5,5,4,6,4,5.5,6,0,0,4,0,3,1,2,0,17,1,3,1,3,2,3,0,2,2,2,10,9,6,10,7,8,8,10,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
1226000,1,1,"Ordinary","Higher",30,30,4,5.5,5,7,7,14,5,4,7,5.5,7,1,0,0,4,3,6.5,7,7,4,5,7,7,7,NA,NA,NA,NA,NA,1,0,2,1,NA,NA,NA,NA,26,2,10,1,3,NA,2,0,2,5,0,9,9,8,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1227000,1,1,"Higher","Higher",91,91,4.5,5,5.5,5.5,5,18,4,5.5,6.5,6,6.5,1,0,1,6.5,4.5,6,6.5,5.5,7,4.5,6.5,6.5,5.5,NA,NA,NA,NA,NA,0,2,2,0,NA,NA,NA,NA,24,3,7,1,5,NA,4,0,5,4,4,10,7,8,10,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
1228000,1,1,"Ordinary","Higher",50,50,5,6,5.5,7,4.5,NA,7,5.5,7,5.5,7,1,NA,NA,6.5,5,5,6,5.5,6,5,5.5,6,6,NA,NA,NA,NA,NA,1,1,0,2,NA,NA,NA,NA,29,1,8,1,5,NA,4,0,2,5,0,9,8,10,8,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1233000,1,1,"Ordinary","Ordinary/Foundation",37,37,7,7,7,7,7,8,6.5,7,7,5,4.5,1,0,1,6.5,6.5,7,7,6.5,6.5,7,6.5,7,5,4.5,6,6,5.5,6,0,0,3,0,0,0,5,0,13,1,2,1,3,3,5,0,2,5,0,10,9,7,10,10,9,5,10,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
1234000,1,1,"Ordinary","Ordinary/Foundation",35,35,4,5,5,4,5,NA,6.5,5,7,6,4,0,NA,NA,4.5,4.5,6,4,4.5,5,7,7,7,4.5,NA,NA,NA,4,5.5,0,0,2,1,0,3,4,5,11,2,4,1,5,NA,NA,0,5,NA,NA,10,9,8,9,10,6,6,5,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
